period_date,year,month,month_name,year_month,quarter,is_pre_covid,is_covid_period,is_post_covid,covid_dummy,region_code,region_name,region_short,treatment_code,treatment_name,specialty_group,part_type,part_description,waiting_list_size,patients_within_18wks,patients_over_18wks,pct_within_18wks,waiting_over_52wks,total_patients,provider_count,commissioner_count
2020-02-01,2020,2,February ,2020-02,1,t,f,f,0,Y59,NHS England South West,South West,C_999,Total,Total,Part_2,Incomplete Pathways,436735,353399,83336,80.9184,503,,58,182
2020-02-01,2020,2,February ,2020-02,1,t,f,f,0,Y60,NHS England North East and Yorkshire,North East,C_999,Total,Total,Part_2,Incomplete Pathways,681398,580371,101027,85.1736,141,,68,190
2020-02-01,2020,2,February ,2020-02,1,t,f,f,0,Y61,NHS England Midlands,Midlands,C_999,Total,Total,Part_2,Incomplete Pathways,786546,660999,125547,84.0382,111,,71,193
2020-02-01,2020,2,February ,2020-02,1,t,f,f,0,Y62,NHS England East of England,East of England,C_999,Total,Total,Part_2,Incomplete Pathways,431329,349497,81832,81.0279,277,,47,184
2020-02-01,2020,2,February ,2020-02,1,t,f,f,0,Y63,NHS England North West,North West,C_999,Total,Total,Part_2,Incomplete Pathways,633974,527675,106299,83.2329,56,,64,190
2020-03-01,2020,3,March    ,2020-03,1,t,f,f,0,Q71,NHS England London,London,C_999,Total,Total,Part_2,Incomplete Pathways,788118,616828,171290,78.2659,765,,48,193
2020-03-01,2020,3,March    ,2020-03,1,t,f,f,0,Y58,NHS England South East,South East,C_999,Total,Total,Part_2,Incomplete Pathways,621481,495233,126248,79.6859,365,,71,191
2020-03-01,2020,3,March    ,2020-03,1,t,f,f,0,Y59,NHS England South West,South West,C_999,Total,Total,Part_2,Incomplete Pathways,416962,324098,92864,77.7284,831,,56,183
2020-03-01,2020,3,March    ,2020-03,1,t,f,f,0,Y60,NHS England North East and Yorkshire,North East,C_999,Total,Total,Part_2,Incomplete Pathways,637794,524400,113394,82.2209,340,,68,191
2020-03-01,2020,3,March    ,2020-03,1,t,f,f,0,Y61,NHS England Midlands,Midlands,C_999,Total,Total,Part_2,Incomplete Pathways,744286,603193,141093,81.0432,274,,71,193
2020-03-01,2020,3,March    ,2020-03,1,t,f,f,0,Y62,NHS England East of England,East of England,C_999,Total,Total,Part_2,Incomplete Pathways,425504,330042,95462,77.5650,447,,46,185
2020-03-01,2020,3,March    ,2020-03,1,t,f,f,0,Y63,NHS England North West,North West,C_999,Total,Total,Part_2,Incomplete Pathways,618280,493790,124490,79.8651,228,,64,189
2020-04-01,2020,4,April    ,2020-04,2,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,429750,300856,128894,70.0072,1724,,25,142
2020-04-01,2020,4,April    ,2020-04,2,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,571615,399819,171796,69.9455,1427,,61,148
2020-04-01,2020,4,April    ,2020-04,2,f,t,f,1,Y59,NHS England South West,,C_999,Total,Total,Part_2,Incomplete Pathways,547267,394824,152443,72.1447,1254,,70,150
2020-04-01,2020,4,April    ,2020-04,2,f,t,f,1,Y60,NHS England North East and Yorkshire,,C_999,Total,Total,Part_2,Incomplete Pathways,428456,317465,110991,74.0951,957,,48,143
2020-04-01,2020,4,April    ,2020-04,2,f,t,f,1,Y61,NHS England Midlands,,C_999,Total,Total,Part_2,Incomplete Pathways,1062216,771686,290530,72.6487,1995,,116,147
2020-04-01,2020,4,April    ,2020-04,2,f,t,f,1,Y62,NHS England East of England,,C_999,Total,Total,Part_2,Incomplete Pathways,474032,316901,157131,66.8522,2728,,43,138
2020-04-01,2020,4,April    ,2020-04,2,f,t,f,1,Y63,NHS England North West,,C_999,Total,Total,Part_2,Incomplete Pathways,454763,325559,129204,71.5887,1306,,50,149
2020-05-01,2020,5,May      ,2020-05,2,f,t,f,1,Q71,NHS England London,,C_999,Total,Total,Part_2,Incomplete Pathways,416029,251113,164916,60.3595,3862,,25,147
2020-05-01,2020,5,May      ,2020-05,2,f,t,f,1,Y58,NHS England South East,,C_999,Total,Total,Part_2,Incomplete Pathways,532045,322974,209071,60.7043,3658,,61,149
